latitude,longitude,Year,Month,cdi,mmi,sig,magnitude,nst,dmin,gap,depth,volcanic eruption,tsunami
-9.7963,159.596,2022,11,8,7,768,7,117,0.509,17,14,No,1
-4.9559,100.738,2022,11,4,4,735,6.9,99,2.229,34,25,No,0
-20.0508,-178.346,2022,11,3,3,755,7,147,3.125,18,579,No,1
-19.2918,-172.129,2022,11,5,5,833,7.3,149,1.865,21,37,No,1
-25.5948,178.278,2022,11,0,2,670,6.6,131,4.998,27,624.464,No,1
-26.0442,178.381,2022,11,4,3,755,7,142,4.578,26,660,No,1
-25.9678,178.363,2022,11,1,3,711,6.8,136,4.678,22,630.379,No,1
7.6712,-82.3396,2022,10,7,6,797,6.7,145,1.151,37,20,No,1
18.33,-102.913,2022,9,8,7,1179,6.8,175,2.137,92,20,No,1
18.3667,-103.252,2022,9,9,8,1799,7.6,271,1.153,69,26.943,No,1
23.1444,121.307,2022,9,9,9,887,6.9,215,0.401,34,10,No,1
23.029,121.348,2022,9,7,7,756,6.5,178,0.43,54,10,No,1
-21.2077,170.239,2022,9,7,5,761,7,192,2.977,45,137,No,1
-6.2237,146.471,2022,9,8,8,965,7.6,272,3.158,12,116,No,1
29.7263,102.279,2022,9,9,8,1043,6.6,141,8.454,34,12,No,0
-32.6922,-178.959,2022,8,7,6,672,6.6,68,5.293,34,30,No,1
17.5978,120.809,2022,7,9,8,1351,7,152,5.276,22,33.729,No,1
-9.0618,-71.1647,2022,6,3,2,653,6.5,236,1.999,31,622.73,No,0
-14.8628,-70.3081,2022,5,7,5,876,7.2,144,2.494,40,236,No,1
-54.1325,159.027,2022,5,2,5,733,6.9,127,0.371,45,10,No,1
-23.6141,-66.7236,2022,5,6,5,762,6.8,162,1.505,30,220,No,1
11.5538,-86.9919,2022,4,6,5,762,6.6,0,0.914,94,27,No,1
-22.5732,170.349,2022,3,6,4,763,7,0,2.705,26,10,No,1
-22.72,170.277,2022,3,6,4,738,6.9,0,2.697,42,10,No,1
23.3421,121.636,2022,3,8,7,806,6.7,0,0.289,32,24,No,1
37.7015,141.587,2022,3,9,8,2397,7.3,0,2.936,29,41,No,1
-0.6831,98.6034,2022,3,9,6,708,6.7,0,2.188,43,28,No,0
-30.0528,-177.74,2022,3,2,7,670,6.6,0,0.827,46,24,No,1
-23.7852,-179.968,2022,2,2,3,712,6.8,0,5.78,12,535,No,1
-4.455,-76.9395,2022,2,8,6,690,6.5,0,3.026,22,110,No,0
-29.535,-176.729,2022,1,7,4,651,6.5,0,1.088,57,8,No,1
-6.9291,105.251,2022,1,8,6,785,6.6,0,2.418,22,33,No,0
52.502,-168.08,2022,1,0,3,650,6.5,97,1.61607,108,37,No,1
52.502,-168.08,2022,1,0,3,650,6.5,23,0,208.8,37,No,1
52.6252,-168.15,2022,1,8,5,674,6.6,0,0.507,49,19,No,1
52.48,-167.736,2022,1,0,4,691,6.7,50,0.936943,126,33,No,1
52.48,-167.736,2022,1,0,4,691,6.7,20,0,205.2,33,No,1
52.6563,-167.917,2022,1,7,6,730,6.8,0,0.92,61,20,No,1
35.1456,31.9095,2022,1,6,6,976,6.6,0,1.168,21,21,No,0
37.8167,101.299,2022,1,9,8,1012,6.6,0,2.685,13,13,No,0
-7.5924,127.581,2021,12,8,7,921,7.3,0,3.713,19,165.49,No,0
-7.6033,122.2,2021,12,9,5,854,7.3,0,1.025,32,14.27,No,1
-4.4898,-76.8461,2021,11,8,8,1094,7.5,0,4.951,40,126,No,1
23.5414,126.48,2021,11,7,4,688,6.6,0,3.259,15,12,No,1
56.2581,-156.492,2021,10,8,6,995,6.9,0,0,0,51.6,No,1
-21.1704,174.54,2021,10,4,3,740,6.9,0,4.778,31,535,No,1
-21.1036,174.895,2021,10,4,4,826,7.3,0,4.493,32,527,No,1
12.1598,-87.8542,2021,9,7,5,684,6.5,0,0.993,114,21,No,1
16.9502,-99.7877,2021,9,8,8,2504,7,0,0.07,43,20,No,1
-60.3026,-24.9992,2021,8,1,4,776,7.1,0,9.799,32,6,No,1
-60.1023,-24.4608,2021,8,1,3,670,6.6,0,8.865,19,7,No,1
-14.892,167.085,2021,8,8,7,741,6.9,0,0.579,54,93,No,1
-58.3814,-23.3318,2021,8,6,4,734,6.9,0,8.363,48,16.7,No,1
18.3521,-73.4804,2021,8,9,8,2331,7.2,0,1.178,23,10,No,1
55.2364,-157.707,2021,8,5,4,738,6.9,0,0,0,33.3,No,1
55.2657,-157.68,2021,8,5,4,738,6.9,0,1.173,36,20.74,No,1
-58.4157,-25.3206,2021,8,0,7,1009,8.1,0,7.463,78,22.79,No,0
-57.5959,-25.1874,2021,8,9,6,868,7.5,0,7.227,38,47.23,No,1
6.4547,126.742,2021,8,9,7,846,7.1,0,1.273,25,55.14,No,1
55.4742,-157.917,2021,7,8,6,1237,8.2,0,0.875,66,46.66,No,1
55.3154,-157.829,2021,7,8,7,1252,8.2,0,0,0,35,No,1
13.6989,120.713,2021,7,8,5,935,6.7,0,8.139,12,110,No,1
7.5904,-82.8813,2021,7,6,6,830,6.7,0,1.395,61,10,No,1
-30.2144,-177.773,2021,6,0,4,650,6.5,0,7.994,24,25,No,1
-16.4796,-177.356,2021,5,5,7,652,6.5,0,4.518,44,10,No,1
34.5861,98.2551,2021,5,9,9,1025,7.3,0,4.655,9,10,No,0
0.1684,96.6475,2021,5,8,4,698,6.7,0,1.487,37,11,No,0
-17.2495,66.3745,2021,5,9,3,694,6.7,0,10.669,45,10,No,0
38.2296,141.665,2021,5,7,6,919,6.9,0,2.619,35,43,No,1
-21.6857,-177.064,2021,4,4,4,651,6.5,0,5.931,20,246,No,0
-18.9204,-176.235,2021,4,6,4,652,6.5,0,10.405,19,301,No,0
38.4752,141.607,2021,3,7,7,1052,7,0,2.378,35,43,No,1
54.7018,163.208,2021,3,5,5,672,6.6,0,3.183,18,13.23,No,1
-28.4792,-176.619,2021,3,0,4,650,6.5,0,11.764,25,24,No,0
-29.7466,-177.224,2021,3,9,8,1021,8.1,0,0.739,21,28.93,No,1
-29.6131,-177.842,2021,3,3,7,843,7.4,0,0.437,30,43,No,1
-37.596,179.544,2021,3,7,6,932,7.3,0,0.918,24,10,No,1
37.6856,141.992,2021,2,9,8,1612,7.1,0,3.085,11,43.98,No,1
-23.2787,171.489,2021,2,9,4,918,7.7,0,7.989,15,10,No,1
-61.8484,-55.559,2021,1,9,5,739,6.9,0,1.55,16,15,No,1
5.0074,127.517,2021,1,7,5,802,7,0,2.821,15,80,No,1
51.2407,100.443,2021,1,8,8,776,6.7,0,2.043,22,10,No,0
-39.3264,-74.9067,2020,12,5,5,776,6.7,0,1.319,19,10,No,1
37.8973,26.7953,2020,10,8,7,1527,7,0,1.518,18,21,No,0
54.662,-159.675,2020,10,9,7,1165,7.6,0,0.23,36,28.37,No,1
0.9604,-26.8332,2020,9,0,3,732,6.9,0,11.255,16,10,No,1
-27.9285,-71.3937,2020,9,6,6,674,6.5,0,0.388,49,16,No,0
-28.013,-71.1958,2020,9,6,7,824,6.8,0,0.312,69,21,No,1
0.8696,-29.7046,2020,8,4,5,651,6.5,0,15.394,31,10,No,0
-6.6704,123.493,2020,8,4,3,749,6.9,0,2.267,20,624,No,0
-4.2791,101.215,2020,8,4,4,735,6.9,0,1.716,25,26,No,0
-4.3724,101.095,2020,8,5,4,716,6.8,0,1.816,34,22,No,0
12.0065,124.13,2020,8,9,8,784,6.6,0,5.128,14,10,No,1
55.1079,-158.477,2020,7,9,7,1111,7.8,0,0.621,60,28,No,1
-7.847,147.755,2020,7,6,7,820,7,0,1.671,18,73,No,1
-5.6368,110.678,2020,7,4,2,684,6.6,0,1.458,14,533.76,No,0
15.9163,-95.9533,2020,6,8,8,1494,7.4,0,0.151,30,20,No,1
-33.2938,-177.838,2020,6,7,7,873,7.4,0,4.035,23,10,No,1
28.9386,128.262,2020,6,5,4,734,6.6,0,2.015,18,165,No,1
