Latitude,Longitude,Rainfall (mm),Temperature (Celsius),Humidity (%),River Discharge (m^3/s),Water Level (m),Elevation (m),Surface Water State,Land Cover,Soil Type,Population Density,Historical Floods,Flood Occurred
14.99913377,-110.6664872,220.967159,14.70656796,99.25248438,759.6966036,6.942228034,1529.808777,Stable,Forest,Clay,1347.094828,0,0
42.47784939,28.26888412,249.5030615,34.46548528,91.36536078,209.6179357,4.376113976,803.4760076,Overflow,Urban,Loam,5212.823896,1,1
48.77287249,131.6249177,117.218032,35.25134605,85.98731476,90.8410551,4.560609794,581.8592656,Overflow,Water Body,Loam,9009.708344,1,1
15.53369952,122.2416178,185.0115433,35.59820088,99.1134349,799.9183894,7.170135103,616.2428385,Stable,Urban,Loam,5159.761733,1,0
15.1547947,130.1780535,130.0328917,29.18215078,98.96815238,1162.888596,1.502989743,429.8225395,Overflow,Forest,Clay,3833.209279,0,1
30.01437785,-85.70093449,92.32059435,13.61217063,68.31863218,176.1882462,2.978533767,1593.468704,Overflow,Water Body,Loam,67.01063848,0,1
38.64999016,-52.46251699,216.4702658,36.90024882,67.5850361,560.6038177,7.189634117,1034.829948,Stable,Forest,Loam,8835.185601,0,0
41.08197143,111.5966981,273.7241004,33.25952209,83.13872483,312.7639331,0.6638649888,1640.702242,Overflow,Water Body,Clay,4113.47923,1,1
48.90229788,-74.38893142,227.0813036,25.22038069,64.21922997,358.9610105,10.20954046,1828.384253,Stable,Agriculture,Clay,79.95036453,0,0
45.26103808,134.3860304,196.7003157,35.17519577,86.67526771,460.3732229,4.355380588,1272.463822,Stable,Water Body,Clay,8778.782102,1,0
48.73873521,95.22537111,223.9599213,38.01289857,60.8924776,412.8936533,7.608428519,1219.454553,Stable,Water Body,Loam,4860.84984,0,0
19.67726721,56.64366059,238.5025054,28.14709942,62.66854603,106.2510945,6.647066261,148.8737923,Overflow,Water Body,Loam,6711.58311,1,1
29.71278338,-33.78444239,215.813689,37.56221344,67.97541564,664.9663046,1.132564969,600.6996055,Overflow,Urban,Sand,2944.486002,1,1
36.44057017,23.06641889,251.3859374,5.408183913,42.3837492,283.3237783,5.392346331,260.8218862,Overflow,Urban,Clay,9341.710635,1,1
12.56025386,94.93850186,155.6680415,25.19258967,50.55044232,175.9827574,5.665998784,1692.135376,Overflow,Forest,Sand,2481.935207,1,1
26.59278009,-75.13005011,142.902909,14.14826322,97.2543318,328.1911547,3.947818614,1494.214817,Overflow,Agriculture,Clay,3883.872139,1,1
28.33638517,97.15337108,253.3819157,26.8608845,45.94013194,349.5627401,1.622044028,923.8877127,Stable,Urban,Sand,7817.197153,1,0
44.83876495,13.10533182,99.29683629,20.82244875,79.55748837,565.3874527,1.542210196,168.253008,Overflow,Forest,Clay,4753.934258,1,1
28.86304754,-101.6299252,160.6481861,15.62046591,98.48421684,914.725589,3.768322434,322.1972953,Overflow,Agriculture,Sand,3508.417825,0,1
33.94633937,17.40139892,204.9913158,33.56048095,86.3391816,103.022793,7.783441036,912.305747,Overflow,Urban,Clay,2350.932587,0,1
37.53095862,5.06577498,213.9012711,18.85312908,46.46798769,362.9662307,3.061264249,980.4564845,Stable,Agriculture,Sand,5189.996919,1,0
43.73549617,-46.33986414,176.5623355,17.63649627,66.24746899,160.9588218,0.0,1635.99754,Stable,Agriculture,Sand,7085.953684,0,0
32.02890665,107.0001431,171.212456,25.89463758,69.77982234,798.6254597,2.091087942,341.3338613,Stable,Water Body,Loam,5917.216903,0,0
22.18455077,116.4943297,178.4272178,27.45819222,84.04455494,551.8436839,4.792599305,1764.73269,Overflow,Agriculture,Sand,3527.367874,1,1
14.88439656,146.3737625,174.6141615,40.46398687,87.44660851,0.0,6.195232472,513.2048696,Overflow,Urban,Loam,8928.602375,1,1
28.61347736,77.76274987,243.3697246,32.58756193,69.90109065,105.8841966,3.056414189,883.1548018,Overflow,Forest,Loam,9531.119685,1,1
16.54495285,-10.25506615,141.6067346,31.97182621,58.31163007,347.0256494,7.745469013,503.6207009,Overflow,Forest,Clay,7083.315731,0,1
26.75173276,-3.945560471,153.8824335,40.0808285,89.47455222,658.0292651,2.320657305,483.3946716,Overflow,Water Body,Clay,2500.692399,1,1
40.86507644,121.4068747,245.7701485,31.5048964,57.95637356,709.0378881,6.276276918,1762.286868,Overflow,Agriculture,Sand,1053.318973,0,1
43.20879458,-31.78049955,278.7073393,23.86123392,87.77811379,895.7303082,5.561442461,1974.89912,Overflow,Forest,Clay,5672.513739,1,1
21.35491006,-33.6859758,162.8827385,11.65857172,93.30222421,953.6684183,5.001037263,655.5647093,Stable,Water Body,Loam,1088.251237,0,0
18.09175797,120.0652446,283.7818147,18.81603147,43.94938108,235.0834635,7.282621043,1336.53474,Overflow,Agriculture,Clay,4547.800093,1,1
30.43594202,145.5626511,242.3629117,23.0138839,91.75277474,967.902269,6.935231245,1727.152484,Stable,Water Body,Loam,1115.872579,1,0
47.65084829,90.17124845,261.7473388,19.46060655,77.00778755,1040.894087,3.883205834,619.872208,Stable,Agriculture,Loam,32.93271361,1,0
13.30947342,46.77753827,272.7700669,21.85499607,76.03677861,366.1114665,0.6255266259,526.8832094,Overflow,Urban,Loam,553.2219842,0,1
31.5901649,51.82318101,196.2731363,23.23569351,82.37944545,1089.403867,3.522260133,402.7406807,Stable,Water Body,Clay,590.2963779,1,0
23.48783788,140.9480686,160.6993648,25.37410626,88.07311965,880.1782101,1.432578516,604.3310147,Stable,Water Body,Clay,3637.671565,1,0
29.65466922,-42.92229282,183.3173738,32.07475573,50.16634294,800.1485813,6.685242236,538.9457549,Stable,Agriculture,Sand,5209.246344,0,0
13.14313989,113.9808359,164.4931697,21.32977581,86.74269221,641.5435219,5.676177746,376.966309,Overflow,Agriculture,Loam,5338.072756,1,1
19.38017099,27.94859149,239.0613088,28.88053329,84.45961927,469.3160242,3.517916982,12.04640191,Overflow,Forest,Sand,6.938139441,0,0
31.16492691,-44.07549972,138.4263976,15.20453354,46.92095792,630.178637,6.717865097,1627.232247,Stable,Urban,Sand,2342.08585,1,0
25.94527825,74.81495557,261.1956176,22.69785381,81.34391394,395.8345111,2.516734692,1029.788829,Stable,Water Body,Sand,3134.435589,0,0
26.68773674,-34.77352071,190.6417226,23.11018755,62.98625001,79.39981297,5.98332257,747.0524901,Overflow,Agriculture,Clay,2326.879633,1,1
17.47586901,-46.12602208,236.0240735,33.66089957,74.29044316,607.6583225,3.569236484,1401.721261,Stable,Agriculture,Loam,1617.608987,1,0
42.40453579,-2.442992682,189.7822137,19.7514054,46.9511223,304.1791143,1.303525926,1461.957687,Overflow,Forest,Loam,1166.116401,0,1
42.89922255,19.10190106,216.6982575,22.04519186,72.43567924,101.5774902,0.0,215.8004823,Overflow,Water Body,Clay,9386.135876,1,1
43.10212209,37.4998857,138.8127577,35.86758977,53.83401293,689.7520928,7.53821489,763.934866,Overflow,Water Body,Clay,8255.384376,0,1
11.55752067,-39.41832149,187.0139414,5.516214933,88.65947638,686.5856727,0.0,192.5410858,Overflow,Urban,Clay,9919.161583,1,1
27.42444864,-60.81344307,166.7941198,26.65165437,91.78909942,773.5490358,6.914132054,1833.279318,Stable,Water Body,Sand,3799.487743,0,0
17.62598183,55.52379404,298.6429349,15.64879724,75.2500731,328.1232113,1.615872704,1754.574909,Stable,Water Body,Loam,5190.969837,1,0
13.71703488,132.7538168,155.6885379,39.17089706,78.68156049,721.9921124,8.345911462,1171.53143,Stable,Forest,Clay,6152.867813,1,0
49.76355656,-92.24735893,246.3831205,43.87657886,50.44612413,490.6537783,8.94797128,1020.530196,Stable,Water Body,Sand,2439.820315,1,0
34.56833909,-83.82882798,109.4918437,26.01180833,45.69518386,742.3043893,6.370075375,352.7761974,Stable,Agriculture,Clay,8186.402347,0,0
23.80768834,-84.95859925,161.5782242,34.46861462,74.59210005,375.4958595,6.05545877,887.6308358,Overflow,Agriculture,Clay,464.1159867,0,1
48.42507902,93.04096313,195.3195488,25.43423409,67.98184713,290.7011462,8.062717651,1003.878041,Overflow,Urban,Sand,1813.921335,1,1
28.01403916,109.902079,265.2417382,16.46071085,44.02989956,338.231139,10.6750607,1274.512854,Overflow,Urban,Clay,6943.1088,0,1
11.23823164,-49.14765794,190.6471242,20.62177877,92.84632652,419.5310194,8.63075606,823.9624123,Overflow,Urban,Clay,1489.592845,1,1
24.97083183,86.63540087,127.8037226,21.4687982,63.05059331,562.1363831,1.803674781,1074.826664,Overflow,Agriculture,Loam,4463.815423,1,1
22.0986527,93.66523539,162.0408227,29.55837678,87.82630134,84.66931883,0.3141002122,1738.235978,Overflow,Forest,Clay,3443.621861,0,1
34.55734339,119.8334931,219.5914354,21.16521981,94.99740242,557.8352233,1.495373791,641.8073346,Overflow,Water Body,Loam,1231.878804,1,1
46.07096114,-26.45329249,112.8958771,24.44409477,86.26265788,581.608069,4.391346749,1794.490958,Overflow,Urban,Clay,904.9031004,0,1
43.77428331,91.36912686,274.685488,44.192813,40.09914929,911.7091836,2.4278357,1942.758431,Overflow,Agriculture,Sand,3062.879152,0,1
25.88382983,99.47729955,192.020538,17.53193469,70.85725936,326.7868222,1.713176611,15.30221251,Stable,Forest,Sand,4299.344242,1,0
24.39686544,11.60370697,179.5754924,25.85207019,94.11832563,586.8064333,7.117949173,594.1160544,Stable,Urban,Sand,7429.957743,1,0
33.9342997,99.50659741,289.798583,27.44426338,86.75243624,521.5403203,3.173210579,1956.50185,Stable,Agriculture,Clay,2706.592441,1,0
42.24805119,88.48104746,188.3863249,29.94522492,92.79140613,344.3599873,5.140657577,6.78729643,Overflow,Urban,Loam,1812.227857,0,1
10.29804817,60.01319537,212.5229593,31.31354054,51.18017628,233.8443073,7.504126591,1123.563335,Stable,Water Body,Clay,2586.814096,0,0
45.49382869,134.085429,170.8262447,21.92951743,56.65163794,879.3858268,5.00028881,1350.063293,Stable,Forest,Loam,3573.99865,0,0
46.47720401,-92.32735121,212.3864847,22.11486141,63.80040886,54.21228993,5.868347879,419.215614,Stable,Water Body,Clay,9892.459055,1,1
25.18769633,49.65372174,197.9541232,36.52250652,77.23315952,883.2122116,3.788920642,573.6793221,Overflow,Water Body,Clay,497.1245043,0,1
30.84500731,38.82716911,130.7961936,28.74010348,85.93770363,671.1147422,6.757839861,811.745834,Stable,Water Body,Clay,9042.288512,1,0
43.0681879,-91.04795786,172.7073691,21.31600973,40.19555615,38.49388898,4.217220857,191.1757017,Stable,Urban,Sand,6772.308833,1,0
19.90872584,71.11534213,166.3076326,35.44947918,63.98422668,528.3860244,2.801853439,1347.813975,Stable,Urban,Loam,6346.562511,1,0
39.10102559,90.99213755,146.8397338,21.44416817,74.64687477,776.3791225,3.222646143,1893.55603,Stable,Agriculture,Sand,3623.350762,1,1
11.57248559,42.87626412,151.8301829,41.39956682,63.46413275,461.5846464,4.394965917,1813.851629,Overflow,Forest,Loam,1540.385698,1,1
39.34457522,-39.28993947,196.7294883,13.2933747,89.23733526,1380.081712,5.984801136,1939.849689,Overflow,Water Body,Loam,6120.820147,0,1
30.0149308,-108.3738443,107.4205562,38.67313448,66.57198424,903.1360531,2.468954022,942.6499875,Stable,Water Body,Loam,8159.599085,1,1
25.91462812,131.5144633,179.5339893,26.42621393,72.43859488,652.6222159,6.337693954,175.518441,Overflow,Water Body,Loam,1400.331765,0,1
35.34118843,24.33098917,166.3547334,27.41043278,43.79524185,0.0,3.179205118,1639.513683,Overflow,Forest,Clay,9763.588057,1,1
28.93887083,-105.7591329,177.6061178,39.06807529,45.35715394,151.8879647,1.510280514,460.0366794,Overflow,Water Body,Clay,2886.023609,0,1
26.7449606,21.22960915,239.6455398,25.45816188,56.83818858,243.2248224,7.177632468,1937.415176,Stable,Urban,Loam,4087.776143,0,0
34.98456192,77.23895659,174.8545175,15.4108591,66.61008295,250.0586659,2.00252017,1498.616159,Overflow,Agriculture,Loam,3077.78887,1,1
40.49140539,146.2022255,197.4382082,28.90172193,85.89337172,861.3223868,2.671827839,1875.682103,Overflow,Agriculture,Sand,6639.294883,1,1
29.25111805,19.63059782,261.8869053,18.72337304,72.84382886,516.4927615,5.111020041,427.2985015,Overflow,Water Body,Loam,5037.308372,0,1
40.49210498,11.32573958,284.615651,16.0916832,92.66915035,141.3942324,4.794379891,428.2813218,Overflow,Agriculture,Clay,6938.022718,1,1
27.70182059,-108.0806982,157.4717305,28.08675294,75.23212779,509.1514444,8.807137134,603.848709,Overflow,Forest,Sand,2818.568358,1,1
27.27493275,-24.65712978,255.7213676,10.10574608,88.25743824,927.7090766,5.325852309,1122.345288,Stable,Water Body,Loam,1533.857615,0,0
21.38165543,131.3180715,138.3705468,24.17409675,79.7462648,699.1410736,4.982621332,1456.653337,Overflow,Agriculture,Clay,9840.284146,0,1
49.49344634,-109.6852484,200.3836597,36.18541409,94.67693033,670.5903751,3.871215776,184.903075,Overflow,Urban,Loam,2296.763559,1,1
40.07541843,114.4166331,269.3126609,35.3892021,62.02611047,935.0095098,11.16261531,454.4728819,Stable,Agriculture,Loam,9062.489418,0,0
42.36094561,67.1665764,143.3478826,13.03660101,97.07588794,659.6713211,6.867282139,591.8401802,Overflow,Forest,Loam,3998.263789,1,1
34.68579946,48.77471923,147.1242665,11.81907964,61.05102075,508.3998636,7.930786708,1695.508323,Overflow,Water Body,Loam,3554.86302,1,1
43.58879739,42.1729203,102.3602116,41.43110435,92.82704238,604.3334775,10.95270604,673.0557927,Stable,Water Body,Clay,1429.803203,0,0
10.20918454,113.5486436,180.3324438,22.5260706,72.04055904,8.951647354,4.882194654,321.2404148,Overflow,Urban,Sand,2899.824955,0,1
12.01798268,-56.30646916,124.3555243,14.69840206,84.99303108,133.2590063,4.92269806,1108.206427,Stable,Forest,Sand,238.6814189,1,0
28.33077549,-61.06542453,176.8149616,19.75220845,79.83211105,472.1340515,4.593976184,766.3836925,Stable,Water Body,Clay,4228.86345,1,0
