Latitude,Longitude,Rainfall (mm),Temperature (Celsius),Soil Moisture (%),Slope Angle (°),Elevation (m),Terrain Aspect (°),Lithology,Land Cover,Soil Type,Distance to Road (m),Historical Landslides,Landslide Occurred
14.99913377,-110.6664872,220.967159,14.70656796,99.25248438,47.16445087871405,6.942228034,281.7673529694216,Granite,Forest,Clay,1347.094828,0,0
42.47784939,28.26888412,249.5030615,34.46548528,91.36536078,45.102989688518434,4.376113976,316.74705629644814,Shale,Urban,Loam,5212.823896,1,1
48.77287249,131.6249177,117.218032,35.25134605,85.98731476,26.031086677363398,4.560609794,233.96146809137457,Shale,Water Body,Loam,9009.708344,1,1
15.53369952,122.2416178,185.0115433,35.59820088,99.1134349,13.173474484213251,7.170135103,77.86523100190648,Granite,Urban,Loam,5159.761733,1,0
15.1547947,130.1780535,130.0328917,29.18215078,98.96815238,22.513096744659272,1.502989743,339.8014136571749,Shale,Forest,Clay,3833.209279,0,1
30.01437785,-85.70093449,92.32059435,13.61217063,68.31863218,42.965804965402,2.978533767,32.79123715288868,Shale,Water Body,Loam,67.01063848,0,1
38.64999016,-52.46251699,216.4702658,36.90024882,67.5850361,29.129725655233166,7.189634117,108.36158349040986,Granite,Forest,Loam,8835.185601,0,0
41.08197143,111.5966981,273.7241004,33.25952209,83.13872483,47.674859023612214,0.6638649888,74.06732273604926,Shale,Water Body,Clay,4113.47923,1,1
48.90229788,-74.38893142,227.0813036,25.22038069,64.21922997,51.12699093625126,10.20954046,305.5635184588435,Granite,Agriculture,Clay,79.95036453,0,0
45.26103808,134.3860304,196.7003157,35.17519577,86.67526771,23.077603959319575,4.355380588,130.71868433711097,Granite,Water Body,Clay,8778.782102,1,0
48.73873521,95.22537111,223.9599213,38.01289857,60.8924776,33.96707503660139,7.608428519,92.06075567739249,Granite,Water Body,Loam,4860.84984,0,0
19.67726721,56.64366059,238.5025054,28.14709942,62.66854603,47.10936586128228,6.647066261,202.97678849156148,Shale,Water Body,Loam,6711.58311,1,1
29.71278338,-33.78444239,215.813689,37.56221344,67.97541564,37.84823219753347,1.132564969,123.5551593460472,Shale,Urban,Sand,2944.486002,1,1
36.44057017,23.06641889,251.3859374,5.408183913,42.3837492,41.39804523179514,5.392346331,158.26672570872685,Shale,Urban,Clay,9341.710635,1,1
12.56025386,94.93850186,155.6680415,25.19258967,50.55044232,10.88886317981936,5.665998784,299.1561311569448,Shale,Forest,Sand,2481.935207,1,1
